,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0124409640843459,0.0204181845390282,0.0160994303237854,0.00939684913090047,0.011243350269677,0.00703254935621896,0.00863910760671866,0.0109671484725136,0.00899141399226324,0.015634515064341,0.0168611895996387,0.0183037250295023,0.00664123736286248,0.0134684838691159,0.0145907316969051,0.00763750029374171,0.0150437951391783,0.00626915241302657,0.00754874909569757
B,0.0124409640843459,0,0.00786553433175622,0.0074735955056873,0.0125987471380699,0.00752325232130276,0.0099798364232742,0.00755487068247654,0.0183837708252175,0.00989679220087255,0.00667070837231001,0.00607379860638972,0.00750382540881196,0.0134165334678784,0.00580755806645451,0.00633352305880127,0.014316975713521,0.00690648112585268,0.0109702354703378,0.0136090358390496
C,0.0204181845390282,0.00786553433175622,0,0.00920986064208565,0.0229142611912093,0.0123759079917605,0.0170200454342183,0.016000002222534,0.0313832370975609,0.0211616723016814,0.0109797959756991,0.00778245438936381,0.00900134634996502,0.0258355334522711,0.00769361393526717,0.00908229069267654,0.0217538047559401,0.00911888751573428,0.0199111294367332,0.0230090717614221
D,0.0160994303237854,0.0074735955056873,0.00920986064208565,0,0.0147680495124906,0.00943359766522766,0.0124853636624293,0.0110412531321312,0.0196775618293932,0.0147773279976809,0.00867658168476442,0.0105821123053765,0.00877228203888084,0.016015729300803,0.00956898542358667,0.0100643894215679,0.0135478900074947,0.00794712574695158,0.0135898148314993,0.0150972637425595
E,0.00939684913090047,0.0125987471380699,0.0229142611912093,0.0147680495124906,0,0.0121259581217961,0.0117960515776846,0.0108763833537854,0.00884867283587567,0.0116418294523091,0.013676665013798,0.0193335399789585,0.0165193191762976,0.00966606462592171,0.0151750450823514,0.0151650886033368,0.0107678522058749,0.0144379310786156,0.00941487300318953,0.00932575728199686
F,0.011243350269677,0.00752325232130276,0.0123759079917605,0.00943359766522766,0.0121259581217961,0,0.00890603640595089,0.00669144345684358,0.0175170596034975,0.00684444409587611,0.00643230323917872,0.0091448721956366,0.0098653046643381,0.0109996615208848,0.00770844904218256,0.00741908160164876,0.013385472395056,0.00729697285058574,0.00888827935595348,0.0111372433198861
G,0.00703254935621896,0.0099798364232742,0.0170200454342183,0.0124853636624293,0.0117960515776846,0.00890603640595089,0,0.00922115698277885,0.0151658592697883,0.008177490239738,0.012089541487143,0.013698025941372,0.0161037944057643,0.00625383978818348,0.0106956887966187,0.0125276329303824,0.00846284899127897,0.0116496610743859,0.00662880124143849,0.00784508341778372
H,0.00863910760671866,0.00755487068247654,0.016000002222534,0.0110412531321312,0.0108763833537854,0.00669144345684358,0.00922115698277885,0,0.0147152758751148,0.00744444914320494,0.0082396768955045,0.0103382514383544,0.0113354028606818,0.00925435961244828,0.0086931147392241,0.00981666219622973,0.0118145990553415,0.00885199366291119,0.00773795007977088,0.0094134899318903
I,0.0109671484725136,0.0183837708252175,0.0313832370975609,0.0196775618293932,0.00884867283587567,0.0175170596034975,0.0151658592697883,0.0147152758751148,0,0.0141031917451956,0.020437288087875,0.0285642145857487,0.0247939010357239,0.0100778152323295,0.0227212740518442,0.0247818891204666,0.0103158245070543,0.0184903969559372,0.0089741635922679,0.00816311463266575
J,0.00899141399226324,0.00989679220087255,0.0211616723016814,0.0147773279976809,0.0116418294523091,0.00684444409587611,0.008177490239738,0.00744444914320494,0.0141031917451956,0,0.00909375549384101,0.0126739529483955,0.0148625327940783,0.00828845795713186,0.0112299870371798,0.0118597858831919,0.0126061884948468,0.0102822105372331,0.00792961209755408,0.010118073228256
K,0.015634515064341,0.00667070837231001,0.0109797959756991,0.00867658168476442,0.013676665013798,0.00643230323917872,0.012089541487143,0.0082396768955045,0.020437288087875,0.00909375549384101,0,0.00720818436678998,0.00849763932005417,0.0141086322382954,0.00789824899071553,0.00718313758821333,0.0159043040099533,0.00747331739008203,0.0125780529432498,0.0152253713054411
