,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0127866661898986,0.0197208204083059,0.0168922214775424,0.0105980011397044,0.0120249470448461,0.00652888977388694,0.00867409656355272,0.0127544024313416,0.00943163685698969,0.0166092398983488,0.0185510986392233,0.0203821866962743,0.0064547622127877,0.0135825345999588,0.0149850002817954,0.00845737037169439,0.0157738493663551,0.00750306895606052,0.00746289216716101
B,0.0127866661898986,0,0.00694060072113628,0.00746693510178803,0.0124794966308625,0.00746056285034487,0.00956686708019434,0.0088240781358589,0.0205705544464077,0.0107566153053612,0.00704770918640754,0.00659074322501266,0.00815177985216583,0.0113766646220968,0.00614890400340681,0.0062936791942816,0.0121053993039003,0.00730375575258159,0.0113817027837186,0.0123946098872393
C,0.0197208204083059,0.00694060072113628,0,0.00865787436570636,0.0224359780539771,0.011520049609191,0.0165802573860745,0.0154550788689208,0.0314133767757569,0.0173458692680674,0.00934051356584439,0.00788146560645113,0.0075826582953295,0.0200836947073961,0.00703455974256127,0.00764215128562651,0.0181612573539985,0.00867978239263663,0.0178527631841718,0.0206881549632591
D,0.0168922214775424,0.00746693510178803,0.00865787436570636,0,0.0146314622228041,0.00885211726504862,0.0129955959093948,0.0118907839226686,0.0212735588089023,0.0147338102383586,0.00824031752700771,0.00982093056248338,0.00804098057883187,0.015396670530961,0.0103852338437283,0.00920887125336576,0.0139475941123732,0.00786969972380363,0.0135842599372762,0.014483972751108
E,0.0105980011397044,0.0124794966308625,0.0224359780539771,0.0146314622228041,0,0.0125307219348564,0.0120426701309354,0.0112555578939454,0.00988239679689745,0.0117906314156865,0.0143472855164784,0.0200112195844859,0.0181584769739121,0.00874622695825519,0.0162211948160099,0.0152818161842906,0.0106053295259611,0.0160731969437409,0.00965135305101998,0.00862311927638745
F,0.0120249470448461,0.00746056285034487,0.011520049609191,0.00885211726504862,0.0125307219348564,0,0.00900055695453283,0.00682995432016768,0.0212292593504114,0.00655689748418199,0.00581971117312729,0.00862168512090589,0.00944005372478575,0.0112211153669663,0.00704928322279329,0.00719982123937985,0.0132329628886063,0.00647789146141794,0.00897199116589574,0.0120691545368832
G,0.00652888977388694,0.00956686708019434,0.0165802573860745,0.0129955959093948,0.0120426701309354,0.00900055695453283,0,0.00863324563430762,0.0164309575855664,0.0073608050162267,0.0114004218060866,0.0133002325350844,0.0153748285814064,0.0061674539000611,0.0101871740051152,0.0109887956571464,0.00801276403502764,0.0103923998595011,0.00700943611296986,0.00856115735916799
H,0.00867409656355272,0.0088240781358589,0.0154550788689208,0.0118907839226686,0.0112555578939454,0.00682995432016768,0.00863324563430762,0,0.0151526368536871,0.00810255217610588,0.00831648805580647,0.0110275904934338,0.0128226915343043,0.00911412038298613,0.00877728275844172,0.00920451742963129,0.0114800777559518,0.00902922326769872,0.00863569840006246,0.00929912926359924
I,0.0127544024313416,0.0205705544464077,0.0314133767757569,0.0212735588089023,0.00988239679689745,0.0212292593504114,0.0164309575855664,0.0151526368536871,0,0.0163002302396978,0.0199085206736219,0.032203394116236,0.0293947018893594,0.0132524040873639,0.0257401485324437,0.0243335517315879,0.00988225540675406,0.01914472723355,0.0093693452557131,0.00853655899780191
J,0.00943163685698969,0.0107566153053612,0.0173458692680674,0.0147338102383586,0.0117906314156865,0.00655689748418199,0.0073608050162267,0.00810255217610588,0.0163002302396978,0,0.00979217214020483,0.0140653447656361,0.0159042600987912,0.00787223121880879,0.0112761948125721,0.0116874307490574,0.0116568754857652,0.0104931951239862,0.00855497092163036,0.00977031961478392
