,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0125701161855307,0.0198197379653446,0.017194715158139,0.00997018593098414,0.012001050604286,0.0065803616553842,0.00902407365504806,0.0103721256266652,0.00839107716402651,0.0163179368919622,0.0163962859635594,0.0203632742818531,0.00624102960608123,0.0135672141340032,0.0143765000727871,0.00780546788554822,0.0156397995126005,0.00621529510469058,0.00674569616384968
B,0.0125701161855307,0,0.0079765044687147,0.00774380932121129,0.0129133673002412,0.00775590015840033,0.0106098883636996,0.00949462583874574,0.01733451179148,0.0103175426860294,0.00835233413441543,0.0060135582288459,0.00858238048586424,0.0112895336819165,0.0065230349324045,0.00663184057467692,0.012636000564623,0.00705281911680527,0.0110478072041295,0.0118587681390163
C,0.0198197379653446,0.0079765044687147,0,0.0090634016453641,0.0218952505174767,0.0119769693462606,0.0167532555099327,0.0170600453671667,0.0298234291606018,0.0190208361301424,0.0104860369373019,0.00784721641590274,0.00912484822360664,0.0203704674416768,0.00765293955787699,0.00859939039570147,0.0201833463129619,0.00981040570587387,0.01936416902239,0.0212747083474061
D,0.017194715158139,0.00774380932121129,0.0090634016453641,0,0.0151898946715025,0.00934321229252776,0.0139680096530629,0.0129452457172581,0.0206091954148216,0.0146443281043586,0.00843219892931068,0.00929082239112048,0.00900881130098906,0.0153246028927198,0.0106228373230624,0.00948223338916506,0.0133538859377822,0.00766819971187714,0.0156427533413363,0.0146397804323664
E,0.00997018593098414,0.0129133673002412,0.0218952505174767,0.0151898946715025,0,0.0121220767644618,0.011892577762021,0.011077036599671,0.00943077466731865,0.0109451405145483,0.0150629634326711,0.0179563082806688,0.0186076303503262,0.00906058081869343,0.0156523686839278,0.015200246319371,0.0131810785728332,0.0166720402872797,0.00886845097928597,0.00886234849295333
F,0.012001050604286,0.00775590015840033,0.0119769693462606,0.00934321229252776,0.0121220767644618,0,0.00940072840103818,0.0069360096120998,0.0149631690872594,0.00642311088612047,0.00634438709713507,0.00853992362064936,0.0102237177564036,0.0110498813196242,0.00794889572521445,0.00833302449905874,0.0123980871200577,0.00731866297282227,0.00962443767398268,0.0102203612241589
G,0.0065803616553842,0.0106098883636996,0.0167532555099327,0.0139680096530629,0.011892577762021,0.00940072840103818,0,0.00873900649836321,0.0141680566183766,0.00748109820339615,0.0122451140281319,0.0122565018417046,0.0165454222991336,0.00611848461599545,0.00993459207626357,0.0114883846245183,0.00877074432359402,0.0109837443898658,0.00623541392053536,0.00765144322123929
H,0.00902407365504806,0.00949462583874574,0.0170600453671667,0.0129452457172581,0.011077036599671,0.0069360096120998,0.00873900649836321,0,0.0139843774227191,0.00786624283524023,0.00856662625031912,0.0106996425880959,0.0131726356379352,0.0092953767937688,0.00944573319554517,0.0110022900804232,0.0116116916050308,0.0101232282955234,0.00877968011195558,0.00957256750654701
I,0.0103721256266652,0.01733451179148,0.0298234291606018,0.0206091954148216,0.00943077466731865,0.0149631690872594,0.0141680566183766,0.0139843774227191,0,0.0120805289785966,0.0194955285776842,0.0251357478210588,0.0296200320467499,0.00961363154965526,0.0224271318708714,0.0215766754170414,0.011080910761075,0.019159369709952,0.00821257637559429,0.00747356888133045
J,0.00839107716402651,0.0103175426860294,0.0190208361301424,0.0146443281043586,0.0109451405145483,0.00642311088612047,0.00748109820339615,0.00786624283524023,0.0120805289785966,0,0.0099454348252388,0.0126973740945462,0.0169428882723751,0.00744378819225798,0.0110205694214335,0.0119374563926249,0.0107523575265362,0.0116268458479874,0.00730401333940306,0.00748225175502817
