,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.013769521324117,0.0217225043018299,0.0190976509092866,0.0101796803455514,0.0129193450955506,0.00607408574070696,0.00895680056763396,0.0114886632422983,0.00838884788387369,0.0168508684947197,0.0197734876068995,0.0197837625599672,0.0056498763036595,0.0136453382543892,0.0155265241189335,0.00779235156161321,0.0150754565880553,0.006283695502053,0.00662832280425113
B,0.013769521324117,0,0.00732244903790932,0.00764747946053655,0.0140402984879084,0.00776454026788213,0.0114426498848397,0.00870634780320797,0.0197114909689066,0.0105086951112806,0.0071730231053351,0.00638180659000432,0.00813219857569551,0.0107344078687632,0.00659822090866164,0.00605183364831497,0.0128594251239746,0.00717210680058588,0.0120632166091233,0.0126497762397291
C,0.0217225043018299,0.00732244903790932,0,0.0108189963525178,0.0233542589904812,0.0131171030795361,0.0181796186607188,0.0150123733086791,0.0362813744559046,0.0180820351687876,0.0103112213634915,0.00746563795678964,0.00867673718256669,0.0212114914423001,0.00797814289711773,0.00847015282974826,0.0215008740229691,0.010271416720697,0.0206217095611072,0.0239073523149298
D,0.0190976509092866,0.00764747946053655,0.0108189963525178,0,0.0155975625628694,0.0098894668052468,0.0148990452069194,0.0115790146104328,0.0229292765858408,0.0140880634638976,0.00840889716916442,0.0107203978755203,0.00796496985863935,0.0151913201883383,0.0110708529411536,0.0111991598624063,0.0159319409115763,0.00735559804221636,0.0155549771760854,0.0154473297514512
E,0.0101796803455514,0.0140402984879084,0.0233542589904812,0.0155975625628694,0,0.0130011904013777,0.0118852005327511,0.0108607241100496,0.00908343087299561,0.0110090382314044,0.014632953196295,0.0216541364089232,0.0167778033341498,0.00947903449746472,0.016733290960664,0.0175081372777461,0.0120016856028286,0.0153047604047609,0.00912300934374698,0.0088896518188216
F,0.0129193450955506,0.00776454026788213,0.0131171030795361,0.0098894668052468,0.0130011904013777,0,0.0109445866233314,0.00829100245323622,0.0182593756718299,0.00770553908863591,0.00698263852464005,0.00978007057914251,0.01066648574725,0.0121016642682422,0.00872896478158963,0.00851522888404416,0.0141692064618114,0.00820181025289938,0.0101622431636565,0.0124833787347251
G,0.00607408574070696,0.0114426498848397,0.0181796186607188,0.0148990452069194,0.0118852005327511,0.0109445866233314,0,0.00883028757683447,0.0144354835746227,0.00720286565760621,0.0129674025104854,0.0158035357851515,0.0168338182616229,0.00566292691852318,0.0117639692764148,0.0141293085492476,0.0086955337916277,0.0109945646104501,0.00638596462362653,0.00729800710917876
H,0.00895680056763396,0.00870634780320797,0.0150123733086791,0.0115790146104328,0.0108607241100496,0.00829100245323622,0.00883028757683447,0,0.0147982587371805,0.00735676051943142,0.00841744821878098,0.0121155791686715,0.0116892188329856,0.00860698315010672,0.00903342974311142,0.00957478714875786,0.010863671864305,0.00882132042082939,0.00855741854301912,0.00998440053183646
I,0.0114886632422983,0.0197114909689066,0.0362813744559046,0.0229292765858408,0.00908343087299561,0.0182593756718299,0.0144354835746227,0.0147982587371805,0,0.0128595941047535,0.0204714194140856,0.0308087603025806,0.0253552255413419,0.0118491531262335,0.0250433662392385,0.0267093038241566,0.0102538523029555,0.0191016468714295,0.00848511301843738,0.00741970945331879
J,0.00838884788387369,0.0105086951112806,0.0180820351687876,0.0140880634638976,0.0110090382314044,0.00770553908863591,0.00720286565760621,0.00735676051943142,0.0128595941047535,0,0.0100948406507064,0.0139795044667687,0.0159573348567713,0.00715789959734849,0.0116240611143301,0.0120011175515964,0.0117079040472138,0.0101217646637991,0.00763317509288348,0.00816174156670043
