,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0131222970332664,0.0210874212559697,0.0176038809885595,0.00970218029919904,0.0118163306272564,0.00702657114069494,0.00917279056922903,0.0110986626535494,0.00781839506127703,0.0156046185048612,0.0184813847037901,0.0212180669697651,0.00589364656965803,0.0130997438616971,0.0145771274753932,0.00783697070756376,0.0150222160904839,0.00633214118158386,0.0070984028603038
B,0.0131222970332664,0,0.00750675046609025,0.00732690964993694,0.0132269686466447,0.00817589337843238,0.0108033545983564,0.00787662884244412,0.0215962398620152,0.0100522337091939,0.00720882318783268,0.00626449818308201,0.00777730002234646,0.0147042141056887,0.00568764112192282,0.00649415829641638,0.0154291317858376,0.00791718068099456,0.0135312886390198,0.0151551903414976
C,0.0210874212559697,0.00750675046609025,0,0.00868843845720567,0.0247728865981937,0.0118301105701587,0.0169417562842622,0.0154673761394602,0.0363037244987737,0.0192243890731905,0.00968227688601364,0.00680796552803587,0.00756945215569847,0.0232587792258561,0.0076220026116966,0.00736840818688215,0.0226385357635584,0.00897502742722513,0.0224450196337387,0.0254102456302382
D,0.0176038809885595,0.00732690964993694,0.00868843845720567,0,0.0159135191942674,0.00878310589152123,0.0144869650195926,0.0118251294662117,0.0219327666363117,0.0161085990510851,0.00839052699406018,0.00928356985255174,0.008289236029768,0.0177393710996488,0.00980091130160545,0.00890149576096096,0.0162427422849586,0.00725021963387014,0.0159205683315513,0.017321541090606
E,0.00970218029919904,0.0132269686466447,0.0247728865981937,0.0159135191942674,0,0.0115260653980253,0.0122249953096319,0.0108645903311721,0.00846620706503732,0.0102229878363279,0.0142590180973029,0.0220179317230338,0.0193746066008178,0.00835364756246196,0.0157705964366343,0.0161499746449602,0.0113037191762014,0.0163243206467385,0.00833065912432301,0.00781950852790072
F,0.0118163306272564,0.00817589337843238,0.0118301105701587,0.00878310589152123,0.0115260653980253,0,0.0093766782914098,0.00671741182382206,0.01783265249084,0.00738775723664133,0.00558729965715402,0.00927493640257402,0.0104879055853204,0.0112915848287632,0.00764520426351952,0.00716734575550408,0.0135667970922305,0.00671230774190544,0.00961482073793359,0.0107987411309176
G,0.00702657114069494,0.0108033545983564,0.0169417562842622,0.0144869650195926,0.0122249953096319,0.0093766782914098,0,0.0093936249730491,0.0146022259960077,0.00709451985589722,0.0119095265762617,0.0135995573509584,0.0161593655358327,0.00616197002096963,0.0106623719957819,0.0113566505447468,0.00844096431189948,0.0109673941942397,0.00671315722048929,0.0075714874553163
H,0.00917279056922903,0.00787662884244412,0.0154673761394602,0.0118251294662117,0.0108645903311721,0.00671741182382206,0.0093936249730491,0,0.0140934428665418,0.00772052947018759,0.00806532095838788,0.0122645025183631,0.012812964589679,0.00891275467191288,0.00845573299220363,0.0102071924010984,0.0121961153887488,0.00968380559300107,0.00824920829639758,0.00891083275552258
I,0.0110986626535494,0.0215962398620152,0.0363037244987737,0.0219327666363117,0.00846620706503732,0.01783265249084,0.0146022259960077,0.0140934428665418,0,0.0132968899176824,0.0215084024664799,0.0321545196545595,0.0295590220068671,0.00961431277117564,0.0227737960398023,0.0229163795315278,0.00931249027244679,0.0192411754543691,0.00868437125306401,0.00809244380070906
J,0.00781839506127703,0.0100522337091939,0.0192243890731905,0.0161085990510851,0.0102229878363279,0.00738775723664133,0.00709451985589722,0.00772052947018759,0.0132968899176824,0,0.0103230092218144,0.0146180432353679,0.0167048258286905,0.0073630405970052,0.0114122353142592,0.0123959480505296,0.0110021705685836,0.0111894875114935,0.00740883548460059,0.00802176695330248
K,0.0156046185048612,0.00720882318783268,0.00968227688601364,0.00839052699406018,0.0142590180973029,0.00558729965715402,0.0119095265762617,0.00806532095838788,0.0215084024664799,0.0103230092218144,0,0.00748676641189818,0.008780994632581,0.013812615685121,0.00705430630158566,0.00735985921620236,0.0163436531507222,0.00665215699475273,0.012925534155761,0.0153044922255347
L,0.0184813847037901,0.00626449818308201,0.00680796552803587,0.00928356985255174,0.0220179317230338,0.00927493640257402,0.0135995573509584,0.0122645025183631,0.0321545196545595,0.0146180432353679,0.00748676641189818,0,0.00731870865078281,0.0177251161684488,0.00645731589491983,0.00775283084876856,0.0199963353697946,0.00849742678646118,0.0181419379159093,0.0213516019068746
M,0.0212180669697651,0.00777730002234646,0.00756945215569847,0.008289236029768,0.0193746066008178,0.0104879055853204,0.0161593655358327,0.012812964589679,0.0295590220068671,0.0167048258286905,0.008780994632581,0.00731870865078281,0,0.0192375668240344,0.00787249653739984,0.00803404128971997,0.0201349657472411,0.0101714017207341,0.0176100843471074,0.0200945482154494
N,0.00589364656965803,0.0147042141056887,0.0232587792258561,0.0177393710996488,0.00835364756246196,0.0112915848287632,0.00616197002096963,0.00891275467191288,0.00961431277117564,0.0073630405970052,0.013812615685121,0.0177251161684488,0.0192375668240344,0,0.0131097754094311,0.0132829884407914,0.00558802348299423,0.013630657740514,0.00609404925057392,0.00511490871179257
O,0.0130997438616971,0.00568764112192282,0.0076220026116966,0.00980091130160545,0.0157705964366343,0.00764520426351952,0.0106623719957819,0.00845573299220363,0.0227737960398023,0.0114122353142592,0.00705430630158566,0.00645731589491983,0.00787249653739984,0.0131097754094311,0,0.0055903829164901,0.0146980288941102,0.00795749032262061,0.0132084424598163,0.0148977978769643
P,0.0145771274753932,0.00649415829641638,0.00736840818688215,0.00890149576096096,0.0161499746449602,0.00716734575550408,0.0113566505447468,0.0102071924010984,0.0229163795315278,0.0123959480505296,0.00735985921620236,0.00775283084876856,0.00803404128971997,0.0132829884407914,0.0055903829164901,0,0.0148329648082694,0.00802691686806188,0.0127487859561171,0.0141906925772739
Q,0.00783697070756376,0.0154291317858376,0.0226385357635584,0.0162427422849586,0.0113037191762014,0.0135667970922305,0.00844096431189948,0.0121961153887488,0.00931249027244679,0.0110021705685836,0.0163436531507222,0.0199963353697946,0.0201349657472411,0.00558802348299423,0.0146980288941102,0.0148329648082694,0,0.0145186125361245,0.00617955197892791,0.00729682693447941
R,0.0150222160904839,0.00791718068099456,0.00897502742722513,0.00725021963387014,0.0163243206467385,0.00671230774190544,0.0109673941942397,0.00968380559300107,0.0192411754543691,0.0111894875114935,0.00665215699475273,0.00849742678646118,0.0101714017207341,0.013630657740514,0.00795749032262061,0.00802691686806188,0.0145186125361245,0,0.0118701149583576,0.0144329362017407
S,0.00633214118158386,0.0135312886390198,0.0224450196337387,0.0159205683315513,0.00833065912432301,0.00961482073793359,0.00671315722048929,0.00824920829639758,0.00868437125306401,0.00740883548460059,0.012925534155761,0.0181419379159093,0.0176100843471074,0.00609404925057392,0.0132084424598163,0.0127487859561171,0.00617955197892791,0.0118701149583576,0,0.00522969174766132
T,0.0070984028603038,0.0151551903414976,0.0254102456302382,0.017321541090606,0.00781950852790072,0.0107987411309176,0.0075714874553163,0.00891083275552258,0.00809244380070906,0.00802176695330248,0.0153044922255347,0.0213516019068746,0.0200945482154494,0.00511490871179257,0.0148977978769643,0.0141906925772739,0.00729682693447941,0.0144329362017407,0.00522969174766132,0
