,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0122217401537262,0.0210850560317121,0.016033825474003,0.00984572457716209,0.0110156501825433,0.00684834390722035,0.00879881146323343,0.0101171615629133,0.00782578425591071,0.0146465431784453,0.0174145408295567,0.0194061168620161,0.00559321642974977,0.0132263515240754,0.0148045841082708,0.00762264777257273,0.0150820715331233,0.0065243055831716,0.00671285871175084
B,0.0122217401537262,0,0.00758977614566156,0.00763972115230691,0.0125929642362609,0.00780186380359031,0.010234217401463,0.00801814510159882,0.0172069899423848,0.00989659275906404,0.00759351982789606,0.00625291338029911,0.00778386835803806,0.0112021057618019,0.006403811685533,0.00643082612827483,0.0113298679022127,0.00707819796631205,0.00975603792719222,0.0107159722327705
C,0.0210850560317121,0.00758977614566156,0,0.00968904587191417,0.0224359585474386,0.0135797528512973,0.0173950249067464,0.0168657890294905,0.0313422547517157,0.0194871137667401,0.0117823041924838,0.00714745337675607,0.00778307269397846,0.0217888759928718,0.00777434567670919,0.00849921746247082,0.0190492225058148,0.00972301361052322,0.0190155065783095,0.0228804709648352
D,0.016033825474003,0.00763972115230691,0.00968904587191417,0,0.014382600142649,0.00892433527458653,0.0132561817834271,0.0115252688643599,0.0195093532625236,0.0141771052586715,0.00861888528273171,0.00912745033974036,0.0075270150709436,0.01472247812219,0.00965174394952191,0.00951232255342445,0.0126807917344948,0.00761428784663486,0.0129696941095494,0.0139002993414797
E,0.00984572457716209,0.0125929642362609,0.0224359585474386,0.014382600142649,0,0.0107183765085964,0.0117883191377376,0.00969749697960476,0.00839303709072315,0.0102440202518329,0.0137552113935891,0.0197171670207722,0.0169090013691802,0.0102351765287392,0.0152857138083627,0.0173091769183092,0.0106663514093303,0.016116002938777,0.00958494056951803,0.00894034018536035
F,0.0110156501825433,0.00780186380359031,0.0135797528512973,0.00892433527458653,0.0107183765085964,0,0.00889929832118708,0.00706441782944847,0.0170402548411505,0.00669339214814699,0.00645592431908678,0.0090415119247915,0.010129227770989,0.0105048201542825,0.00761502330121265,0.00802899385725062,0.0120581979597841,0.00673632022323513,0.00811856006148524,0.00977742056459615
G,0.00684834390722035,0.010234217401463,0.0173950249067464,0.0132561817834271,0.0117883191377376,0.00889929832118708,0,0.00881738676619313,0.0144220452685848,0.00751892046656136,0.0112300335653903,0.0123484141182719,0.0153980061969902,0.00584602988503602,0.00977036193515479,0.0114953891395689,0.00744931758467658,0.0110937072534907,0.00633245993352283,0.00745447103979423
H,0.00879881146323343,0.00801814510159882,0.0168657890294905,0.0115252688643599,0.00969749697960476,0.00706441782944847,0.00881738676619313,0,0.0132555564376782,0.00782855198288171,0.00792060381195196,0.0109869174617923,0.0120823929877695,0.00831590536380617,0.00867525283061879,0.00991433308228069,0.0110366439764862,0.0092415223522866,0.00760480255695387,0.00876630914994556
I,0.0101171615629133,0.0172069899423848,0.0313422547517157,0.0195093532625236,0.00839303709072315,0.0170402548411505,0.0144220452685848,0.0132555564376782,0,0.0133919475570792,0.0187986235984011,0.0286387899464176,0.0253556127854021,0.0092539685605896,0.0213117242478776,0.0222978312270966,0.0104680443631397,0.0208931909475811,0.00875774989146127,0.00752402131313467
J,0.00782578425591071,0.00989659275906404,0.0194871137667401,0.0141771052586715,0.0102440202518329,0.00669339214814699,0.00751892046656136,0.00782855198288171,0.0133919475570792,0,0.00949263224770012,0.0130203327623744,0.0151385801070916,0.00719551789152477,0.0107899940522558,0.0118247841746028,0.0107469649703831,0.0104726985471454,0.00734597389083115,0.00807650053776157
