,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0114160206021382,0.0225917580955878,0.0152533032436246,0.0106789522001991,0.0121301966612974,0.00589721311344352,0.00814732006051024,0.0119304190455255,0.00902783626990551,0.0146984381271297,0.0193605117719012,0.0205185567337758,0.00541555323287857,0.0149997538641248,0.0160352123358781,0.00833383996091621,0.0149868620475095,0.007267542129721,0.00712931474685257
B,0.0114160206021382,0,0.00737886811832214,0.00735322260586025,0.0119587329824067,0.00707371075429807,0.00968651472713087,0.00757984202508894,0.0178945473048601,0.00946445404441096,0.00727177614718998,0.00610175925569817,0.00846864139402084,0.0101001342285998,0.00625965629806066,0.00642895513165704,0.0128169269491574,0.00741836723316459,0.0101270653749507,0.0111717403591834
C,0.0225917580955878,0.00737886811832214,0,0.00908503003013441,0.0226610147699507,0.0117310364401434,0.0159293860868945,0.0145832159039794,0.0354280102488207,0.0201343888856235,0.0111834704341029,0.00721576980161475,0.00868948941453838,0.0214566562690853,0.00767840406678475,0.00846427256552703,0.0220519036627289,0.00967376085999687,0.0207031173688256,0.0223904901765263
D,0.0152533032436246,0.00735322260586025,0.00908503003013441,0,0.0145817106274707,0.00807315130744046,0.0125118369492495,0.0106923345764594,0.0180375095413775,0.0126642852438046,0.00868885440483828,0.00907309532893373,0.00831721405627819,0.0139154819529243,0.00975406211812887,0.00953370166144697,0.0142161537232103,0.00740951913499896,0.0129194356191494,0.0134442093915578
E,0.0106789522001991,0.0119587329824067,0.0226610147699507,0.0145817106274707,0,0.0112023343220976,0.0107912030072215,0.00999602925792063,0.00984070891465538,0.0115787923017345,0.0148110071978875,0.0215329762089916,0.0169705160985665,0.00843245107762178,0.0164672074610872,0.0166254448646047,0.0120125719127193,0.0152213571555465,0.00968926397171706,0.00876028974516034
F,0.0121301966612974,0.00707371075429807,0.0117310364401434,0.00807315130744046,0.0112023343220976,0,0.00826015742333828,0.00686508799694078,0.0180987431992832,0.00690062614139585,0.00607159860834497,0.00891599322685857,0.00939693274224377,0.00985190846215501,0.00791876705154676,0.00730430066236121,0.0130811353461411,0.00652793717615355,0.00823935116100316,0.0108897098133983
G,0.00589721311344352,0.00968651472713087,0.0159293860868945,0.0125118369492495,0.0107912030072215,0.00826015742333828,0,0.00776580013833706,0.0138938447817279,0.00694687823864149,0.0120134668279443,0.0128714025323133,0.0150998755257476,0.00564998286046779,0.0102234655531887,0.0113962214566333,0.00840856631630671,0.0104743587489985,0.00584899579500835,0.00755555032725643
H,0.00814732006051024,0.00757984202508894,0.0145832159039794,0.0106923345764594,0.00999602925792063,0.00686508799694078,0.00776580013833706,0,0.0136577382687354,0.00752481403294585,0.00880699910587171,0.0107441008185628,0.0124449882474826,0.0076436366429821,0.00915014320374345,0.00971492595781751,0.0110634560017426,0.00891985533589165,0.00784802338156142,0.0087943843729404
I,0.0119304190455255,0.0178945473048601,0.0354280102488207,0.0180375095413775,0.00984070891465538,0.0180987431992832,0.0138938447817279,0.0136577382687354,0,0.0158186756641812,0.0187026356835058,0.0295550136060273,0.0269775335835045,0.0106848317567785,0.025926474081653,0.02596602809256,0.00891346071687181,0.0188417775520305,0.0104700985440468,0.00805648984984825
J,0.00902783626990551,0.00946445404441096,0.0201343888856235,0.0126642852438046,0.0115787923017345,0.00690062614139585,0.00694687823864149,0.00752481403294585,0.0158186756641812,0,0.00966379882704772,0.0139013041438816,0.0161378278189773,0.0070946508311201,0.0112685460505695,0.0123176300016044,0.0125276934210391,0.00907785547146145,0.00732468140392272,0.00914809504368455
K,0.0146984381271297,0.00727177614718998,0.0111834704341029,0.00868885440483828,0.0148110071978875,0.00607159860834497,0.0120134668279443,0.00880699910587171,0.0187026356835058,0.00966379882704772,0,0.00708489760238305,0.00915181907152255,0.0133928303054735,0.0079389586267061,0.00834862003235641,0.0162594205754249,0.00749591161357507,0.0118982367187057,0.0147732501346477
L,0.0193605117719012,0.00610175925569817,0.00721576980161475,0.00907309532893373,0.0215329762089916,0.00891599322685857,0.0128714025323133,0.0107441008185628,0.0295550136060273,0.0139013041438816,0.00708489760238305,0,0.00685602070921284,0.0156008164643983,0.00668912695217243,0.00646307299869568,0.0178074183361132,0.00870377117159472,0.0159409759498108,0.0191346304438192
M,0.0205185567337758,0.00846864139402084,0.00868948941453838,0.00831721405627819,0.0169705160985665,0.00939693274224377,0.0150998755257476,0.0124449882474826,0.0269775335835045,0.0161378278189773,0.00915181907152255,0.00685602070921284,0,0.0184162989278188,0.00841976655470742,0.00769781075594228,0.0185973323748642,0.00877634416920295,0.0162351466654275,0.0183207807372419
N,0.00541555323287857,0.0101001342285998,0.0214566562690853,0.0139154819529243,0.00843245107762178,0.00985190846215501,0.00564998286046779,0.0076436366429821,0.0106848317567785,0.0070946508311201,0.0133928303054735,0.0156008164643983,0.0184162989278188,0,0.0120980523074575,0.0125433053533172,0.0061147250549145,0.0118184906332678,0.00590167567072285,0.00503513723450427
O,0.0149997538641248,0.00625965629806066,0.00767840406678475,0.00975406211812887,0.0164672074610872,0.00791876705154676,0.0102234655531887,0.00915014320374345,0.025926474081653,0.0112685460505695,0.0079389586267061,0.00668912695217243,0.00841976655470742,0.0120980523074575,0,0.00582206085706948,0.0149001236200209,0.00802775110510053,0.0120927854092287,0.0149185441326172
P,0.0160352123358781,0.00642895513165704,0.00846427256552703,0.00953370166144697,0.0166254448646047,0.00730430066236121,0.0113962214566333,0.00971492595781751,0.02596602809256,0.0123176300016044,0.00834862003235641,0.00646307299869568,0.00769781075594228,0.0125433053533172,0.00582206085706948,0,0.0153196091730262,0.0076706967452608,0.0123601261581006,0.0149923396912853
Q,0.00833383996091621,0.0128169269491574,0.0220519036627289,0.0142161537232103,0.0120125719127193,0.0130811353461411,0.00840856631630671,0.0110634560017426,0.00891346071687181,0.0125276934210391,0.0162594205754249,0.0178074183361132,0.0185973323748642,0.0061147250549145,0.0149001236200209,0.0153196091730262,0,0.0142601117743851,0.00797204751058481,0.00810727416216873
R,0.0149868620475095,0.00741836723316459,0.00967376085999687,0.00740951913499896,0.0152213571555465,0.00652793717615355,0.0104743587489985,0.00891985533589165,0.0188417775520305,0.00907785547146145,0.00749591161357507,0.00870377117159472,0.00877634416920295,0.0118184906332678,0.00802775110510053,0.0076706967452608,0.0142601117743851,0,0.0111492914811034,0.0133770769267519
S,0.007267542129721,0.0101270653749507,0.0207031173688256,0.0129194356191494,0.00968926397171706,0.00823935116100316,0.00584899579500835,0.00784802338156142,0.0104700985440468,0.00732468140392272,0.0118982367187057,0.0159409759498108,0.0162351466654275,0.00590167567072285,0.0120927854092287,0.0123601261581006,0.00797204751058481,0.0111492914811034,0,0.00607332954787441
T,0.00712931474685257,0.0111717403591834,0.0223904901765263,0.0134442093915578,0.00876028974516034,0.0108897098133983,0.00755555032725643,0.0087943843729404,0.00805648984984825,0.00914809504368455,0.0147732501346477,0.0191346304438192,0.0183207807372419,0.00503513723450427,0.0149185441326172,0.0149923396912853,0.00810727416216873,0.0133770769267519,0.00607332954787441,0
