,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0127305191468482,0.0208368999158572,0.0166724795816404,0.010104489892393,0.0112308201695494,0.00646424070473744,0.00904805821704605,0.0107566700620763,0.00830083406366733,0.0159102292621143,0.0172743346665886,0.01878928941833,0.00573936276576914,0.0128217705925836,0.0142262078940621,0.00762594291012048,0.0146563962652974,0.00660957966707531,0.00666592713928929
B,0.0127305191468482,0,0.00759668343091058,0.00758786699859294,0.0135647574573875,0.00744891367911777,0.0103619121255682,0.00814439930793319,0.0212314053617644,0.00968477000097324,0.00726051079216519,0.00652564880777135,0.00810516943799349,0.0139690666590125,0.00645690407683782,0.0063997289204246,0.0157348511034357,0.00680362300839048,0.0130209187051453,0.0143834657012585
C,0.0208368999158572,0.00759668343091058,0,0.00907846421767208,0.0222028003461701,0.0124956340516341,0.017850425114556,0.0158941226510281,0.0334489527854978,0.0186919789312875,0.0103142675033458,0.00750292298922078,0.00770137416244649,0.0239531455085397,0.00773869788266013,0.00768100853214976,0.0227858795111097,0.00976141281895407,0.0219623878902794,0.0240826692321649
D,0.0166724795816404,0.00758786699859294,0.00907846421767208,0,0.0150414362893139,0.00926560516983333,0.0130616591799673,0.0113612419079801,0.0217073798860146,0.0135980405825727,0.00823439183150518,0.00909193034409035,0.00767471372965107,0.0165967696891299,0.00965227813150303,0.00871217497453491,0.0153197770236875,0.00735727674412796,0.0151766794617129,0.0154962077475658
E,0.010104489892393,0.0135647574573875,0.0222028003461701,0.0150414362893139,0,0.011834968995162,0.0112300383597858,0.0107946802140036,0.0103662038910456,0.0106573759071884,0.0142080510452223,0.0188303948148519,0.0169927325424788,0.00924863188810868,0.0148120237397252,0.0149678511273914,0.0113733358873337,0.0148078556058533,0.00901842372209804,0.00853082434478938
F,0.0112308201695494,0.00744891367911777,0.0124956340516341,0.00926560516983333,0.011834968995162,0,0.00938213832086998,0.00639702025809123,0.0180533295182296,0.00683403968104534,0.00620445523895425,0.00896254256656645,0.0094947602410318,0.0107121691895738,0.00757970871805436,0.00756486395496682,0.0133140272823707,0.006712075255876,0.00937539567075043,0.0107806116143413
G,0.00646424070473744,0.0103619121255682,0.017850425114556,0.0130616591799673,0.0112300383597858,0.00938213832086998,0,0.00842237024220399,0.0140035412162389,0.00728109354184341,0.0123215411848515,0.0133754461390486,0.0163875522124565,0.00595713225933339,0.0104467307741218,0.0118621473999017,0.00737356561606102,0.0113820177467453,0.006096220870696,0.0072924678984068
H,0.00904805821704605,0.00814439930793319,0.0158941226510281,0.0113612419079801,0.0107946802140036,0.00639702025809123,0.00842237024220399,0,0.0153002913814353,0.00748745085479329,0.00783874596392392,0.0103743645633496,0.0114654540761141,0.00850861147595199,0.00830295958086407,0.00957303163850504,0.0110235146764326,0.00819911531936945,0.00804510190135215,0.00940704479580037
I,0.0107566700620763,0.0212314053617644,0.0334489527854978,0.0217073798860146,0.0103662038910456,0.0180533295182296,0.0140035412162389,0.0153002913814353,0,0.0136584466091581,0.0190634445610038,0.0276060950997252,0.0259427343591981,0.0107823764677663,0.0236854307756975,0.0241735183265132,0.0107047912141105,0.0197375903083792,0.00929191643058211,0.00907268044722764
J,0.00830083406366733,0.00968477000097324,0.0186919789312875,0.0135980405825727,0.0106573759071884,0.00683403968104534,0.00728109354184341,0.00748745085479329,0.0136584466091581,0,0.00948280469386824,0.0126298553373989,0.0149789957024053,0.00728444345866496,0.0105233774797286,0.0118483821716453,0.0111649678057183,0.0099904483311594,0.00745437603676824,0.00883076374883165
K,0.0159102292621143,0.00726051079216519,0.0103142675033458,0.00823439183150518,0.0142080510452223,0.00620445523895425,0.0123215411848515,0.00783874596392392,0.0190634445610038,0.00948280469386824,0,0.00737973971492827,0.00891858270941679,0.0141123645589357,0.00854720454899756,0.00763396775194636,0.016825921506076,0.00715704987135374,0.0139674854604025,0.0147878263083286
L,0.0172743346665886,0.00652564880777135,0.00750292298922078,0.00909193034409035,0.0188303948148519,0.00896254256656645,0.0133754461390486,0.0103743645633496,0.0276060950997252,0.0126298553373989,0.00737973971492827,0,0.00658684305805379,0.0165465529389705,0.00616309856176025,0.00664283726153348,0.0185417368650693,0.00801182690496127,0.0177746740629179,0.0187993601742754
