,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0122874397361903,0.0201919499218682,0.0174501194002187,0.0104833177429043,0.0110759497305652,0.00655322192721672,0.00847958149305133,0.0115107431362444,0.00820755491657272,0.015309821136901,0.0184108056931698,0.0194975694279149,0.00608716445322612,0.0132924024893621,0.0147227472383445,0.00809422971437075,0.0144781298333128,0.0066252603017173,0.00660456601693897
B,0.0122874397361903,0,0.00802818283900409,0.00755208122745368,0.0143598122980951,0.00686011230561188,0.0098906772865707,0.00768334564248694,0.0172507071464133,0.00941758611906934,0.00699710562510892,0.00694386258959798,0.00830559203123499,0.0108558373645472,0.00641828536291572,0.00696507043012283,0.0120672757551867,0.00685091915855957,0.0097807084793315,0.0108615930021776
C,0.0201919499218682,0.00802818283900409,0,0.00948558644591243,0.0283344485150661,0.0118787446682384,0.0172109550256655,0.0160510194520037,0.0285217357225002,0.0197217240330184,0.0105522330649957,0.00882494683663245,0.00766018055447831,0.0216774305473569,0.00765182772129458,0.00920262898528536,0.0192611487971144,0.00931180586347431,0.0179125698140596,0.0207899111927401
D,0.0174501194002187,0.00755208122745368,0.00948558644591243,0,0.0140013675799806,0.00813940836409589,0.0139277907865811,0.0116591380892558,0.0214197080933518,0.0143860590092198,0.00909643192482132,0.0107577573160213,0.00868418290060765,0.0151726587121665,0.0106993381731314,0.00960031607908434,0.0142324211407544,0.00789927957756011,0.013045642708644,0.0147287466347529
E,0.0104833177429043,0.0143598122980951,0.0283344485150661,0.0140013675799806,0,0.0113208864285581,0.0109874716928617,0.0106593923239311,0.0102658692360556,0.0101436246859539,0.0131445062325976,0.0203091933330415,0.0171379923543674,0.00889288028843827,0.0154118285779647,0.0162662453293471,0.0114536440379333,0.0152397601415996,0.00908125384759757,0.00929826077578877
F,0.0110759497305652,0.00686011230561188,0.0118787446682384,0.00813940836409589,0.0113208864285581,0,0.00890556048942561,0.006332368622082,0.0162769932832743,0.00631147896600279,0.00576831059352438,0.00967169350094436,0.00939466984826456,0.0100959753311159,0.00738760688456987,0.00750367807980999,0.0119688380804022,0.00648216676269482,0.00797005752037418,0.0100350159925219
G,0.00655322192721672,0.0098906772865707,0.0172109550256655,0.0139277907865811,0.0109874716928617,0.00890556048942561,0,0.00809299688125108,0.0138785908201096,0.00715831460441768,0.0118238834612442,0.0132474269998677,0.0158068865057148,0.00530984015541375,0.0102026763141967,0.0115959806744447,0.00738672701266256,0.0111010843784584,0.00610197141099646,0.00648113591569626
H,0.00847958149305133,0.00768334564248694,0.0160510194520037,0.0116591380892558,0.0106593923239311,0.006332368622082,0.00809299688125108,0,0.0145394735538069,0.00740285567745341,0.0074386276833779,0.0118530276128116,0.0117384975928701,0.00789462470173862,0.00796771588688116,0.0100324805749023,0.0109061333813026,0.00822151427444858,0.0073886483419536,0.00885537779008607
I,0.0115107431362444,0.0172507071464133,0.0285217357225002,0.0214197080933518,0.0102658692360556,0.0162769932832743,0.0138785908201096,0.0145394735538069,0,0.0135399289635003,0.0206649139786397,0.0272719010747831,0.0247856371472559,0.010656080807065,0.0206492036681972,0.0225037999977034,0.0107805910790407,0.0198048751163648,0.00897365324254165,0.00879048674912575
J,0.00820755491657272,0.00941758611906934,0.0197217240330184,0.0143860590092198,0.0101436246859539,0.00631147896600279,0.00715831460441768,0.00740285567745341,0.0135399289635003,0,0.00944201723373509,0.0133812586033493,0.0154447321332159,0.00740032524172755,0.0108345003140785,0.0117482658121465,0.0109298457878201,0.00989793916257008,0.0074557142203874,0.00818050728315814
