,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0117784389915465,0.0201390307479229,0.0160766804611896,0.0100921330748618,0.0109339441354947,0.00610676993827138,0.0083746820648076,0.00997825685924198,0.00775586643320369,0.0149232902960247,0.0181325038475021,0.0175467041479381,0.00596502165274134,0.0125864943359732,0.0149309619489789,0.00764854130073093,0.0133078216715418,0.00679995709700508,0.00754422857142696
B,0.0117784389915465,0,0.00706504102853428,0.00700124854817082,0.0110174411077106,0.00733150837529052,0.00894738097989051,0.00794229598118284,0.0180403572279141,0.00946774135660845,0.00663856877085607,0.00612001167069589,0.00816045263588289,0.00989585258209382,0.00624011155903058,0.00643584593216342,0.0116951373336042,0.00675367328963253,0.0103596862672793,0.0117905956539123
C,0.0201390307479229,0.00706504102853428,0,0.00898223990863699,0.0201024619597499,0.0120055782226622,0.0157780582675244,0.0155152002299148,0.031369793706749,0.0180899488900533,0.00988708585858192,0.00716662084741302,0.00776613930809584,0.0185084313608128,0.0074568034698255,0.00736052322209075,0.019313466614591,0.00921086948715978,0.018785686826613,0.0215874507976811
D,0.0160766804611896,0.00700124854817082,0.00898223990863699,0,0.0134372929513492,0.0089798196912996,0.0127163174997608,0.012262841138641,0.0187552108299462,0.0140653641208174,0.00870565251724293,0.00963574348575562,0.00888975642714734,0.0131821407953549,0.0101650037035378,0.0100334302256141,0.0131675490883988,0.00787779030531095,0.0133552269522969,0.0153000906563816
E,0.0100921330748618,0.0110174411077106,0.0201024619597499,0.0134372929513492,0,0.0116528061076542,0.0111225227662464,0.0105447865964505,0.00937237394052663,0.0103624316082014,0.0139017578636851,0.0192944666636395,0.0161322216103045,0.00869402222187981,0.0148435812756173,0.016275883491201,0.0115006898102729,0.0139213760482691,0.00835500367427258,0.00917409579903468
F,0.0109339441354947,0.00733150837529052,0.0120055782226622,0.0089798196912996,0.0116528061076542,0,0.00902477640107605,0.0068681400097724,0.0168891892385292,0.0066733263040976,0.00648792916821047,0.00884991991910603,0.00945772601176597,0.00998034165574079,0.00755934568648905,0.00762723075874572,0.012678243115126,0.0066215095114304,0.0088833626589654,0.0117081489075318
G,0.00610676993827138,0.00894738097989051,0.0157780582675244,0.0127163174997608,0.0111225227662464,0.00902477640107605,0,0.00862206456343374,0.0125829786674402,0.00708068079887916,0.011714531173768,0.0132084069362123,0.01426285698998,0.00540214226503899,0.00939677038224855,0.0115468328099005,0.00776912200128273,0.0105009073199656,0.00606582325138095,0.00821154456699284
H,0.0083746820648076,0.00794229598118284,0.0155152002299148,0.012262841138641,0.0105447865964505,0.0068681400097724,0.00862206456343374,0,0.0157824977280394,0.0076729702786798,0.00831021514408105,0.0112229024717809,0.0119027810904113,0.00894683592226736,0.00887624244292781,0.0108818438588377,0.0116361279263979,0.00892763200440566,0.00819441309693285,0.0108550292584978
I,0.00997825685924198,0.0180403572279141,0.031369793706749,0.0187552108299462,0.00937237394052663,0.0168891892385292,0.0125829786674402,0.0157824977280394,0,0.0132236571120196,0.019668794572659,0.028902902907378,0.0252109279568501,0.0106383460508852,0.0227225485582996,0.0250224445645457,0.00924789442542896,0.0178724985070866,0.00789446922842841,0.00771500976480903
J,0.00775586643320369,0.00946774135660845,0.0180899488900533,0.0140653641208174,0.0103624316082014,0.0066733263040976,0.00708068079887916,0.0076729702786798,0.0132236571120196,0,0.00992221903968921,0.0132772810036407,0.015046494292844,0.00733257620872311,0.0101767469364022,0.0119802580512369,0.0109421004339402,0.00996867343319508,0.00725899346081843,0.00876969389161644
K,0.0149232902960247,0.00663856877085607,0.00988708585858192,0.00870565251724293,0.0139017578636851,0.00648792916821047,0.011714531173768,0.00831021514408105,0.019668794572659,0.00992221903968921,0,0.00711229595937459,0.00878117876440868,0.0123813793509969,0.00761038983016146,0.00824758897046263,0.0155242815641435,0.00702795078712737,0.0125465919373929,0.0152066698989814
L,0.0181325038475021,0.00612001167069589,0.00716662084741302,0.00963574348575562,0.0192944666636395,0.00884991991910603,0.0132084069362123,0.0112229024717809,0.028902902907378,0.0132772810036407,0.00711229595937459,0,0.0074463862410273,0.0136298907983794,0.00627590842114633,0.00694807887559486,0.0160722215878046,0.007887697563094,0.0167928621953473,0.0191212316623083
M,0.0175467041479381,0.00816045263588289,0.00776613930809584,0.00888975642714734,0.0161322216103045,0.00945772601176597,0.01426285698998,0.0119027810904113,0.0252109279568501,0.015046494292844,0.00878117876440868,0.0074463862410273,0,0.0168816595529221,0.00720754288881948,0.00758264781477395,0.0177376472925437,0.00859646933777891,0.0151237728665306,0.0179344877355611
N,0.00596502165274134,0.00989585258209382,0.0185084313608128,0.0131821407953549,0.00869402222187981,0.00998034165574079,0.00540214226503899,0.00894683592226736,0.0106383460508852,0.00733257620872311,0.0123813793509969,0.0136298907983794,0.0168816595529221,0,0.0105835110440401,0.0116983909711545,0.00551364747281518,0.0111346128850577,0.00620578877264901,0.00644799681095768
O,0.0125864943359732,0.00624011155903058,0.0074568034698255,0.0101650037035378,0.0148435812756173,0.00755934568648905,0.00939677038224855,0.00887624244292781,0.0227225485582996,0.0101767469364022,0.00761038983016146,0.00627590842114633,0.00720754288881948,0.0105835110440401,0,0.00560123554179513,0.0131873683158362,0.00733696075850454,0.0119073480380731,0.0149083996337599
P,0.0149309619489789,0.00643584593216342,0.00736052322209075,0.0100334302256141,0.016275883491201,0.00762723075874572,0.0115468328099005,0.0108818438588377,0.0250224445645457,0.0119802580512369,0.00824758897046263,0.00694807887559486,0.00758264781477395,0.0116983909711545,0.00560123554179513,0,0.0143832936576274,0.00747808008601668,0.0128812320570805,0.0162286579808369
Q,0.00764854130073093,0.0116951373336042,0.019313466614591,0.0131675490883988,0.0115006898102729,0.012678243115126,0.00776912200128273,0.0116361279263979,0.00924789442542896,0.0109421004339402,0.0155242815641435,0.0160722215878046,0.0177376472925437,0.00551364747281518,0.0131873683158362,0.0143832936576274,0,0.0126860464581425,0.00683967111098747,0.00755418413902863
R,0.0133078216715418,0.00675367328963253,0.00921086948715978,0.00787779030531095,0.0139213760482691,0.0066215095114304,0.0105009073199656,0.00892763200440566,0.0178724985070866,0.00996867343319508,0.00702795078712737,0.007887697563094,0.00859646933777891,0.0111346128850577,0.00733696075850454,0.00747808008601668,0.0126860464581425,0,0.0105962496114159,0.0130634620609826
S,0.00679995709700508,0.0103596862672793,0.018785686826613,0.0133552269522969,0.00835500367427258,0.0088833626589654,0.00606582325138095,0.00819441309693285,0.00789446922842841,0.00725899346081843,0.0125465919373929,0.0167928621953473,0.0151237728665306,0.00620578877264901,0.0119073480380731,0.0128812320570805,0.00683967111098747,0.0105962496114159,0,0.00574294466450341
T,0.00754422857142696,0.0117905956539123,0.0215874507976811,0.0153000906563816,0.00917409579903468,0.0117081489075318,0.00821154456699284,0.0108550292584978,0.00771500976480903,0.00876969389161644,0.0152066698989814,0.0191212316623083,0.0179344877355611,0.00644799681095768,0.0149083996337599,0.0162286579808369,0.00755418413902863,0.0130634620609826,0.00574294466450341,0
