,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0144605731134438,0.021303508602856,0.017784223911203,0.0108463415981218,0.0125110592554461,0.0065455502642668,0.00847994353825317,0.012672183014986,0.00881728778487604,0.0162959763681573,0.0192102971775647,0.0201715771352914,0.00590908085058858,0.0147099260580542,0.0158870593564367,0.00776984291540508,0.0152452433120033,0.00658514826173462,0.00668533493877255
B,0.0144605731134438,0,0.00661966917060617,0.00761099730576452,0.0136402259068486,0.00761067883828066,0.01013850555763,0.00841660114218141,0.0200849498794707,0.0105794023164881,0.00683499442743392,0.00586847150738714,0.00729693587547946,0.0117167861907403,0.00556214463376142,0.00614400336818367,0.0128799867731261,0.00717911757820138,0.0104931466700306,0.0117468016870546
C,0.021303508602856,0.00661966917060617,0,0.00833245597330656,0.0238844201126004,0.0118983448777951,0.015875351973695,0.0158683735626627,0.031060632311233,0.018205086250429,0.00974034537412272,0.00660184641644016,0.00711244083095316,0.0194649469018866,0.00718603441843105,0.00690512640656429,0.0187296560011399,0.00845146453087869,0.0177771899374635,0.0205280951122846
D,0.017784223911203,0.00761099730576452,0.00833245597330656,0,0.0161048317561611,0.00938700096015968,0.0126485682882536,0.0116073741685345,0.0212173835923671,0.013880758929284,0.00821025619038128,0.00896046664009788,0.00800599809087755,0.0146650212986565,0.00939710647162297,0.0092439678743652,0.0141452718800865,0.00746933525970968,0.0136437684593638,0.0147754698078999
E,0.0108463415981218,0.0136402259068486,0.0238844201126004,0.0161048317561611,0,0.011377946707702,0.0109398483719494,0.00968360562051445,0.0112556520525634,0.00984971412828415,0.0133346407680335,0.0196749716753131,0.0182104697565451,0.00892949919363428,0.0145882507493241,0.016194481823828,0.011446293485215,0.0155441753162165,0.00914989059205569,0.00837460593435448
F,0.0125110592554461,0.00761067883828066,0.0118983448777951,0.00938700096015968,0.011377946707702,0,0.00836965900403697,0.0064575517476607,0.0180823927926483,0.00775614364796913,0.00571128956166169,0.00830833241069067,0.00915106881113542,0.0103500201300752,0.00718506255808831,0.00722475908075323,0.0126131506183646,0.0061480248578144,0.00844754978668114,0.0103775701867103
G,0.0065455502642668,0.01013850555763,0.015875351973695,0.0126485682882536,0.0109398483719494,0.00836965900403697,0,0.00758874425584056,0.0139331016382831,0.00695105365485107,0.0107063708088911,0.0129784687238591,0.0144576936744454,0.00595205993216419,0.00980385868506052,0.0112914679728691,0.00734906914018641,0.00963502895749609,0.00572977356362701,0.00682811018783608
H,0.00847994353825317,0.00841660114218141,0.0158683735626627,0.0116073741685345,0.00968360562051445,0.0064575517476607,0.00758874425584056,0,0.0145155780292169,0.0074566636043619,0.00803501450622654,0.0110631120047531,0.0120582377990071,0.00777915451305207,0.00837488456475651,0.00990177180679584,0.0103814006247503,0.00896277637007561,0.0074983837110754,0.00827382996831773
I,0.012672183014986,0.0200849498794707,0.031060632311233,0.0212173835923671,0.0112556520525634,0.0180823927926483,0.0139331016382831,0.0145155780292169,0,0.0141048539787677,0.0197096110428539,0.0294533229688245,0.0252432580544165,0.0106903135371772,0.0219467854647706,0.0250722332100003,0.0102842623190055,0.0203111967654424,0.00949635070685518,0.00877816402362557
J,0.00881728778487604,0.0105794023164881,0.018205086250429,0.013880758929284,0.00984971412828415,0.00775614364796913,0.00695105365485107,0.0074566636043619,0.0141048539787677,0,0.00944911113709296,0.0132442263326885,0.0156840127651069,0.00711850744643146,0.0111792485980352,0.0116952227904691,0.0109668168318805,0.0098658555938423,0.00786928858229466,0.00806961927030435
K,0.0162959763681573,0.00683499442743392,0.00974034537412272,0.00821025619038128,0.0133346407680335,0.00571128956166169,0.0107063708088911,0.00803501450622654,0.0197096110428539,0.00944911113709296,0,0.00681769871404189,0.0080373926344941,0.0126502965808108,0.00746109314331745,0.0070069214364339,0.0137944295605921,0.00685941023350549,0.0124029680143694,0.0137108949859336
L,0.0192102971775647,0.00586847150738714,0.00660184641644016,0.00896046664009788,0.0196749716753131,0.00830833241069067,0.0129784687238591,0.0110631120047531,0.0294533229688245,0.0132442263326885,0.00681769871404189,0,0.00693663322715005,0.0148434674169042,0.00585155563738486,0.00603930169573226,0.0151551875448114,0.00757376820098463,0.0155477748169731,0.017543435059013
M,0.0201715771352914,0.00729693587547946,0.00711244083095316,0.00800599809087755,0.0182104697565451,0.00915106881113542,0.0144576936744454,0.0120582377990071,0.0252432580544165,0.0156840127651069,0.0080373926344941,0.00693663322715005,0,0.0178639225758844,0.00672079948285815,0.00664006199016486,0.0170367439077287,0.00801654512182434,0.0152492544068332,0.0179053404521266
N,0.00590908085058858,0.0117167861907403,0.0194649469018866,0.0146650212986565,0.00892949919363428,0.0103500201300752,0.00595205993216419,0.00777915451305207,0.0106903135371772,0.00711850744643146,0.0126502965808108,0.0148434674169042,0.0178639225758844,0,0.0112628490171502,0.0120123933922852,0.00548349087097324,0.0116450423295306,0.00632505193259382,0.00481585822807017
O,0.0147099260580542,0.00556214463376142,0.00718603441843105,0.00939710647162297,0.0145882507493241,0.00718506255808831,0.00980385868506052,0.00837488456475651,0.0219467854647706,0.0111792485980352,0.00746109314331745,0.00585155563738486,0.00672079948285815,0.0112628490171502,0,0.0054327930195059,0.0126734239516457,0.00743864671174581,0.0114474841281338,0.013076329379344
P,0.0158870593564367,0.00614400336818367,0.00690512640656429,0.0092439678743652,0.016194481823828,0.00722475908075323,0.0112914679728691,0.00990177180679584,0.0250722332100003,0.0116952227904691,0.0070069214364339,0.00603930169573226,0.00664006199016486,0.0120123933922852,0.0054327930195059,0,0.0141704907020132,0.00664042886235233,0.0125029747958497,0.0143148359500147
Q,0.00776984291540508,0.0128799867731261,0.0187296560011399,0.0141452718800865,0.011446293485215,0.0126131506183646,0.00734906914018641,0.0103814006247503,0.0102842623190055,0.0109668168318805,0.0137944295605921,0.0151551875448114,0.0170367439077287,0.00548349087097324,0.0126734239516457,0.0141704907020132,0,0.0125112602729966,0.00674237785411512,0.00753115481573711
R,0.0152452433120033,0.00717911757820138,0.00845146453087869,0.00746933525970968,0.0155441753162165,0.0061480248578144,0.00963502895749609,0.00896277637007561,0.0203111967654424,0.0098658555938423,0.00685941023350549,0.00757376820098463,0.00801654512182434,0.0116450423295306,0.00743864671174581,0.00664042886235233,0.0125112602729966,0,0.0110261930696313,0.0130222490265617
S,0.00658514826173462,0.0104931466700306,0.0177771899374635,0.0136437684593638,0.00914989059205569,0.00844754978668114,0.00572977356362701,0.0074983837110754,0.00949635070685518,0.00786928858229466,0.0124029680143694,0.0155477748169731,0.0152492544068332,0.00632505193259382,0.0114474841281338,0.0125029747958497,0.00674237785411512,0.0110261930696313,0,0.00512499665217231
T,0.00668533493877255,0.0117468016870546,0.0205280951122846,0.0147754698078999,0.00837460593435448,0.0103775701867103,0.00682811018783608,0.00827382996831773,0.00877816402362557,0.00806961927030435,0.0137108949859336,0.017543435059013,0.0179053404521266,0.00481585822807017,0.013076329379344,0.0143148359500147,0.00753115481573711,0.0130222490265617,0.00512499665217231,0
