,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0125032835836347,0.0217836429086495,0.0185887308612387,0.0100183222922452,0.0115268305691156,0.0062931980451892,0.00818568650555685,0.0103492216546011,0.00814835986128203,0.015182145857777,0.0187030465541729,0.0214552096881347,0.00529786214103476,0.0138082273271814,0.0157889016668141,0.0076391290223707,0.0160296770228946,0.00657770191225746,0.00653845915149037
B,0.0125032835836347,0,0.00747095951826446,0.00722290933463836,0.0120951337532053,0.00747217315230594,0.0103848694612809,0.00790089019747252,0.0172307892437888,0.00964043472523482,0.00754772247981104,0.00691117697429429,0.00869962179502605,0.0113429080396018,0.00637857956718876,0.0072214722510973,0.0114808335876355,0.00770597354676508,0.0106061803527534,0.0114360866120794
C,0.0217836429086495,0.00747095951826446,0,0.00950142050329319,0.0239936406556666,0.0126221691329438,0.0163247743310395,0.0155412325275046,0.032793979692129,0.0182398186573999,0.0103763387282808,0.00774748055997686,0.00771096035758283,0.0206429793364846,0.00776785187948878,0.00754867215087978,0.0201588784854282,0.00912525925662164,0.0199905950198762,0.0239296781417952
D,0.0185887308612387,0.00722290933463836,0.00950142050329319,0,0.0151651486511257,0.0090087694201459,0.0144166281181303,0.0121215374480524,0.0205158821174757,0.0160545233364272,0.00944567545909302,0.0106192662306069,0.00874143430364435,0.016499958596056,0.0104055167799264,0.0098674777850811,0.0152141597105854,0.00807308801387189,0.0144016726929819,0.0162110373022112
E,0.0100183222922452,0.0120951337532053,0.0239936406556666,0.0151651486511257,0,0.0115912252647829,0.011754875648391,0.0103383591100634,0.00853052078937016,0.011064353912326,0.0143447628932862,0.0229607684894762,0.01919667035765,0.00917258276370069,0.015689245928279,0.0180047935235328,0.0119347628174616,0.0171724629405925,0.00898705618725698,0.00829126815974479
F,0.0115268305691156,0.00747217315230594,0.0126221691329438,0.0090087694201459,0.0115912252647829,0,0.00873353439039633,0.0062169806192332,0.0157980533845995,0.00642621093517867,0.00664049115722478,0.00982139726624739,0.00995898209355437,0.010228148797799,0.0075271353886907,0.00754577967764953,0.0119150054936239,0.0064903082362914,0.00836249881592093,0.0108061916669488
G,0.0062931980451892,0.0103848694612809,0.0163247743310395,0.0144166281181303,0.011754875648391,0.00873353439039633,0,0.00738777936067816,0.013887434463175,0.00702152321878263,0.0113824962485033,0.0140728858446197,0.0170746456839598,0.00613646992911892,0.00995096419054908,0.011707945949002,0.00846884514832146,0.0108365888762826,0.00637175804069072,0.00802668100155342
H,0.00818568650555685,0.00790089019747252,0.0155412325275046,0.0121215374480524,0.0103383591100634,0.0062169806192332,0.00738777936067816,0,0.013742415751755,0.0071757492439698,0.00796896354153743,0.0117370566675004,0.0139730892821068,0.00805935176161197,0.0081027215687997,0.0100778746913287,0.0103907163082973,0.00881687777666228,0.00733266495702612,0.00900562735034432
I,0.0103492216546011,0.0172307892437888,0.032793979692129,0.0205158821174757,0.00853052078937016,0.0157980533845995,0.013887434463175,0.013742415751755,0,0.0136847390187011,0.0184106377705679,0.0287844306517322,0.0265762271118004,0.00940841935970322,0.0220385878988139,0.0247485171970072,0.0101513618607261,0.0209790937562055,0.00868308287091617,0.00743328252618376
J,0.00814835986128203,0.00964043472523482,0.0182398186573999,0.0160545233364272,0.011064353912326,0.00642621093517867,0.00702152321878263,0.0071757492439698,0.0136847390187011,0,0.00949449600670255,0.01351800709925,0.0174353906971925,0.00738156520583356,0.0102700178314682,0.0118853201479352,0.0109286152471312,0.00974723510073917,0.00769118110437627,0.00874504748461951
K,0.015182145857777,0.00754772247981104,0.0103763387282808,0.00944567545909302,0.0143447628932862,0.00664049115722478,0.0113824962485033,0.00796896354153743,0.0184106377705679,0.00949449600670255,0,0.0079153272016811,0.0101047085600418,0.0135086371237395,0.00767792217395485,0.00863694522495408,0.0143890353857976,0.00702657652656948,0.0120866739407265,0.0139446834296875
L,0.0187030465541729,0.00691117697429429,0.00774748055997686,0.0106192662306069,0.0229607684894762,0.00982139726624739,0.0140728858446197,0.0117370566675004,0.0287844306517322,0.01351800709925,0.0079153272016811,0,0.0079763448501862,0.0158987811690346,0.00615146447848193,0.00733521638998426,0.0167644024801154,0.00816124156504726,0.0187776007892493,0.0199477081216631
M,0.0214552096881347,0.00869962179502605,0.00771096035758283,0.00874143430364435,0.01919667035765,0.00995898209355437,0.0170746456839598,0.0139730892821068,0.0265762271118004,0.0174353906971925,0.0101047085600418,0.0079763448501862,0,0.0201817811168435,0.00772215507067931,0.00787903521303901,0.0192045095138621,0.00914402427863903,0.0184177470194942,0.0208509312129777
N,0.00529786214103476,0.0113429080396018,0.0206429793364846,0.016499958596056,0.00917258276370069,0.010228148797799,0.00613646992911892,0.00805935176161197,0.00940841935970322,0.00738156520583356,0.0135086371237395,0.0158987811690346,0.0201817811168435,0,0.0113199569631542,0.013462224404687,0.00562153159955686,0.0134226064428315,0.00639160257936967,0.00486053412609427
O,0.0138082273271814,0.00637857956718876,0.00776785187948878,0.0104055167799264,0.015689245928279,0.0075271353886907,0.00995096419054908,0.0081027215687997,0.0220385878988139,0.0102700178314682,0.00767792217395485,0.00615146447848193,0.00772215507067931,0.0113199569631542,0,0.00555550768010607,0.0125473196800471,0.00729537543241267,0.0118077365652215,0.0135043777517119
P,0.0157889016668141,0.0072214722510973,0.00754867215087978,0.0098674777850811,0.0180047935235328,0.00754577967764953,0.011707945949002,0.0100778746913287,0.0247485171970072,0.0118853201479352,0.00863694522495408,0.00733521638998426,0.00787903521303901,0.013462224404687,0.00555550768010607,0,0.0152868451868047,0.00755712721471722,0.0135169153126298,0.0164888113753105
Q,0.0076391290223707,0.0114808335876355,0.0201588784854282,0.0152141597105854,0.0119347628174616,0.0119150054936239,0.00846884514832146,0.0103907163082973,0.0101513618607261,0.0109286152471312,0.0143890353857976,0.0167644024801154,0.0192045095138621,0.00562153159955686,0.0125473196800471,0.0152868451868047,0,0.0138771929055582,0.00653731772534646,0.00709912009001534
R,0.0160296770228946,0.00770597354676508,0.00912525925662164,0.00807308801387189,0.0171724629405925,0.0064903082362914,0.0108365888762826,0.00881687777666228,0.0209790937562055,0.00974723510073917,0.00702657652656948,0.00816124156504726,0.00914402427863903,0.0134226064428315,0.00729537543241267,0.00755712721471722,0.0138771929055582,0,0.0116570459089747,0.0154511918866097
S,0.00657770191225746,0.0106061803527534,0.0199905950198762,0.0144016726929819,0.00898705618725698,0.00836249881592093,0.00637175804069072,0.00733266495702612,0.00868308287091617,0.00769118110437627,0.0120866739407265,0.0187776007892493,0.0184177470194942,0.00639160257936967,0.0118077365652215,0.0135169153126298,0.00653731772534646,0.0116570459089747,0,0.00526713268128608
T,0.00653845915149037,0.0114360866120794,0.0239296781417952,0.0162110373022112,0.00829126815974479,0.0108061916669488,0.00802668100155342,0.00900562735034432,0.00743328252618376,0.00874504748461951,0.0139446834296875,0.0199477081216631,0.0208509312129777,0.00486053412609427,0.0135043777517119,0.0164888113753105,0.00709912009001534,0.0154511918866097,0.00526713268128608,0
