,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
A,0,0.0126240252962494,0.0235321740877922,0.0169556133163901,0.00978247725624558,0.0115669562862656,0.00582523543475132,0.00851666009227871,0.0123460520619492,0.00807752015633556,0.0159168551926341,0.0173145496402817,0.0210281251187744,0.00587523980245836,0.0137690657807533,0.0140921764850201,0.00853212589414679,0.0147182181760571,0.00642964613117231,0.00668281775068273
B,0.0126240252962494,0,0.00784742684115386,0.00794218139333476,0.0124575705110377,0.00763724818722091,0.0112781127151676,0.00771622902169514,0.0212577503701592,0.0111120418783604,0.00645042321340091,0.00610149383974535,0.00853006965047846,0.0145926500021288,0.00587458865488963,0.00600576632652137,0.0156191974419206,0.00688931649184389,0.0136272000528489,0.0147257651597277
C,0.0235321740877922,0.00784742684115386,0,0.00983427297686002,0.0231033446194835,0.0128744220712117,0.0192836928130724,0.0171193199872707,0.0368412023324866,0.0201363997031657,0.0100838554356587,0.00730122356463338,0.00798208308705561,0.0258116029270583,0.0077942164909989,0.0087212886203713,0.0251661130461117,0.00949136541398872,0.0229904883725309,0.0269991235331018
D,0.0169556133163901,0.00794218139333476,0.00983427297686002,0,0.0144683264712668,0.010085974143594,0.015172841441269,0.0125843862626511,0.0207026976054319,0.0161257229436865,0.00820464882219185,0.0100094763609653,0.00842096664010627,0.0180255584119223,0.0099504382188168,0.00989887732035123,0.0163811689274705,0.00765627486389092,0.0150075744995824,0.0157933256517537
E,0.00978247725624558,0.0124575705110377,0.0231033446194835,0.0144683264712668,0,0.0106283313112945,0.0112310460166386,0.0106615887412948,0.00965518851215144,0.0112028127270776,0.0135469444214048,0.0182347518757215,0.018011499009039,0.00858980419690401,0.0143735017941995,0.0137243318618355,0.00993021524528044,0.0140998794291679,0.00845824418780289,0.00861003473041444
F,0.0115669562862656,0.00763724818722091,0.0128744220712117,0.010085974143594,0.0106283313112945,0,0.00927218556297451,0.00670518347062548,0.0171582939018271,0.00697967783047296,0.00591115637227073,0.00881528838944745,0.0107225630027543,0.01131375435705,0.00768190080908841,0.00723380065488526,0.0140840895114998,0.00644023360792444,0.00920672983634492,0.0108769448994171
G,0.00582523543475132,0.0112781127151676,0.0192836928130724,0.015172841441269,0.0112310460166386,0.00927218556297451,0,0.0088032869794846,0.0138406953472796,0.00726839485645802,0.012936774190274,0.0136302060872628,0.0180235363915764,0.00598675065031706,0.0109045147812248,0.011595851653658,0.00847624487226362,0.0117845532118277,0.00635434219417292,0.00789500452020282
H,0.00851666009227871,0.00771622902169514,0.0171193199872707,0.0125843862626511,0.0106615887412948,0.00670518347062548,0.0088032869794846,0,0.013942837755677,0.0077149436646265,0.00775254429850792,0.00982714436656803,0.0138178257724775,0.00854052607989511,0.00850225754795611,0.00896863342850952,0.0115017871239327,0.00852683782009505,0.00832270252652496,0.00938209161227481
I,0.0123460520619492,0.0212577503701592,0.0368412023324866,0.0207026976054319,0.00965518851215144,0.0171582939018271,0.0138406953472796,0.013942837755677,0,0.014467522795458,0.0198680979882228,0.0303281789444162,0.0262891840303929,0.00964150395357995,0.0239757695419364,0.0228137051843488,0.00981829228479766,0.0185692766633406,0.00839739994892741,0.00805289287343459
J,0.00807752015633556,0.0111120418783604,0.0201363997031657,0.0161257229436865,0.0112028127270776,0.00697967783047296,0.00726839485645802,0.0077149436646265,0.014467522795458,0,0.0109013085227743,0.0137055541943327,0.0188292248876924,0.00756223885148773,0.0117996582468064,0.0118908074593219,0.0129236298279131,0.0105661172501457,0.00815782882335715,0.00908815047132001
